game-id,timeslot,default broker,SPOT,AgentUDE,imbalance,consumption
PowerTAC_2018_Finals_260,360,0.0,0.0,0.0,0.0,0.0
PowerTAC_2018_Finals_260,361,-31173.20876243207,0.0,0.0,-31173.20876243207,-31463.14876243207
PowerTAC_2018_Finals_260,362,-4196.891716704758,2937.825653773275,0.0,-1259.0660629314834,-30896.994164783646
PowerTAC_2018_Finals_260,363,28803.114591732396,3484.551850580636,-56540.52989269451,-24252.86345038148,-56626.22989269451
PowerTAC_2018_Finals_260,364,37307.30143541526,464.55,-9884.359343896765,27887.4920915185,-47341.58847522125
PowerTAC_2018_Finals_260,365,39206.475471913465,549.596975,-7708.4096344397985,32047.662812473667,-54011.2342860518
PowerTAC_2018_Finals_260,366,0.0,582.0556750000001,426.6104716611808,1008.6661466611808,-49946.22204393023
PowerTAC_2018_Finals_260,367,0.31,494.9599999999999,5691.815201126672,6187.085201126672,-44693.79600105236
PowerTAC_2018_Finals_260,368,0.9995552369008354,1658.1800000000003,9803.297513423611,11462.477068660512,-38536.43736184284
PowerTAC_2018_Finals_260,369,2.407221492584908,2936.808625408907,6532.728460925231,9471.944307826723,-37951.659184398304
PowerTAC_2018_Finals_260,370,-1.1942725247136412,3631.3940603407013,-3814.2052520120196,-184.00546419603188,-45754.23180624522
PowerTAC_2018_Finals_260,371,4.04,3690.163416166316,817.3245450637332,4511.527961230049,-46946.27711570159
PowerTAC_2018_Finals_260,372,3.0450912092805997,4514.53554394187,6302.883050583863,10820.463685735014,-38478.97460339025
PowerTAC_2018_Finals_260,373,0.6227953298572562,6703.540779531439,-1693.819882502139,5010.343692359157,-43944.597086844544
PowerTAC_2018_Finals_260,374,0.9542443306372501,6490.845365245756,1186.0800428321163,7677.879652408509,-41736.76806830104
PowerTAC_2018_Finals_260,375,1.5799810476891505,6819.958259832868,-1794.9005093726955,5026.637731507862,-44239.84991671155
PowerTAC_2018_Finals_260,376,2.460248803332856,5578.931926312396,-22.433014552749228,5558.959160562979,-43186.5942924583
PowerTAC_2018_Finals_260,377,-2.4580507753034544,4343.842449663141,456.23447509393736,4797.618873981775,-42742.627330424446
PowerTAC_2018_Finals_260,378,-1.8936720500325632,2931.693585034463,152.78804965411837,3082.587962638549,-42886.57909524867
PowerTAC_2018_Finals_260,379,-0.34768381415874217,2465.88603948539,4199.661297475563,6665.199653146794,-38789.8918642638
PowerTAC_2018_Finals_260,380,-0.7159681212950737,2265.0964743866393,3629.7842951157218,5894.164801381066,-37682.47320856421
PowerTAC_2018_Finals_260,381,-3.2852436062084163,618.5998277643619,5118.65513846738,5733.969722625534,-34732.78264645034
PowerTAC_2018_Finals_260,382,-0.6148379259791081,582.3094796245092,-4775.261275938596,-4193.5666342400655,-42583.56108319515
PowerTAC_2018_Finals_260,383,-5.664117732779308,1733.095661574106,-9433.52215186951,-7706.090608028184,-49102.882154553765
PowerTAC_2018_Finals_260,384,-5.7562604047074455,1572.0897845571085,-11692.41007033622,-10126.07654618382,-55180.59478540532
PowerTAC_2018_Finals_260,385,0.0,1532.8078061014887,1342.2206451536695,2875.028451255158,-47973.4018485288
PowerTAC_2018_Finals_260,386,0.0,-30.352674999999998,1365.3997779518613,1335.0471029518612,-47429.37446158724
PowerTAC_2018_Finals_260,387,0.0,614.84,9925.656116465681,10540.496116465682,-37497.19209726137
PowerTAC_2018_Finals_260,388,0.0,398.89,18572.81447449905,18971.70447449905,-38932.95476476691
PowerTAC_2018_Finals_260,389,0.0,408.8,-8061.473733750761,-7652.673733750761,-49430.52896935378
PowerTAC_2018_Finals_260,390,0.0,361.54,26843.592008852967,27205.13200885297,-51564.22269769326
PowerTAC_2018_Finals_260,391,0.28,585.73,9084.489300616035,9670.499300616035,-37758.035413645266
PowerTAC_2018_Finals_260,392,1.25,1582.7226261903272,5264.90040364422,6848.873029834547,-37783.54137897624
PowerTAC_2018_Finals_260,393,-0.26572275521939015,2424.479840879187,-8064.817906371449,-5640.603788247481,-49001.58289658821
PowerTAC_2018_Finals_260,394,0.7896810880644116,3710.2930143275053,-6587.828884222639,-2876.7461888070698,-50794.275382350985
PowerTAC_2018_Finals_260,395,4.887404319464697,4272.393206755212,5407.353952431411,9684.634563506088,-42655.17652990153
PowerTAC_2018_Finals_260,396,2.335580801971875,4682.491536489127,-2990.7157870740702,1694.111330217028,-48651.69120966589
PowerTAC_2018_Finals_260,397,4.135392418833714,4467.632299265352,1730.831703803502,6202.599395487688,-44244.88561438604
PowerTAC_2018_Finals_260,398,1.7596160685918854,4225.963785895702,7583.320342184408,11811.043744148701,-37490.06346922961
PowerTAC_2018_Finals_260,399,-3.856155463049828,1367.81,1079.3736689274228,2443.3275134643727,-41003.95951186341
PowerTAC_2018_Finals_260,400,-1.7525047071655437,990.7262496479508,1855.73045262714,2844.7041975679253,-39779.91529926266
PowerTAC_2018_Finals_260,401,-0.2962881442241985,925.7221790415445,128.81874541298748,1054.2446363103077,-40766.72871254819
PowerTAC_2018_Finals_260,402,-1.155108010705428,763.87,3139.4855416647406,3902.200433654035,-38490.35337820117
PowerTAC_2018_Finals_260,403,-1.8494871465498814,658.347569557905,4331.142005063717,4987.6400874750725,-35556.34078000115
PowerTAC_2018_Finals_260,404,-2.432040310318037,449.1021291830165,2437.4961014454675,2884.1661903181657,-35716.71134273012
PowerTAC_2018_Finals_260,405,16.412253112818775,-9986.324371563955,804.5517988792053,-9165.36031957193,-46699.68295852706
PowerTAC_2018_Finals_260,406,-1.1490892756346671,-9075.99076008481,-553.9343076587757,-9631.07415701922,-51375.34758460185
