AgentUDE,,,-102.6856,0.6770,,,,,,,,,,,,,,,-78.5814,0.1700,-69.4282,23.2675,-57.1475,29.0406,,,,,,,,,,,,,,,,,,,,,,,,,0.0059,-1.7949,SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0224,6.8200,default broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0000,0.0016,AvgBroker,,,-102.6856,0.6770,,,,,,,,,,,,,,,-78.5814,0.1700,-69.4282,23.2675,-57.1475,29.0406,,,,,,,,,,,,,,,,,,,,,,,,,-0.0033,-0.0165,5.0266
AgentUDE,-81.7656,0.7179,,,-68.0451,0.6769,,,,,,,,,,,,,,,,,,,-48.6511,56.4962,,,,,,,,,,,,,,,,,,,,,,,0.0001,-0.0224,SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0240,5.5789,default broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0000,0.0025,AvgBroker,-81.7656,0.7179,,,-68.0451,0.6769,,,,,,,,,,,,,,,,,,,-48.6511,56.4962,,,,,,,,,,,,,,,,,,,,,,,-0.0043,-0.0239,5.5590
AgentUDE,,,-126.0643,0.9200,,,,,,,,,-88.0134,42.7000,,,,,,,,,-62.1997,0.0784,-59.8329,0.5672,-48.7029,0.0635,,,,,,,,,,,,,,,,,,,,,0.0025,0.4562,SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0237,4.3438,default broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0000,-0.0025,AvgBroker,,,-126.0643,0.9200,,,,,,,,,-88.0134,42.7000,,,,,,,,,-62.1997,0.0784,-59.8329,0.5672,-48.7029,0.0635,,,,,,,,,,,,,,,,,,,,,0.0055,0.0262,4.7976
AgentUDE,-194.5458,16.9551,,,,,,,,,,,,,-63.5402,25.3374,,,,,,,,,-59.6728,0.0706,-57.4490,0.5105,-46.6426,0.0572,,,,,,,,,,,,,,,,,,,0.0011,0.1528,SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0213,2.9317,default broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0000,-0.0019,AvgBroker,-194.5458,16.9551,,,,,,,,,,,,,-63.5402,25.3374,,,,,,,,,-59.6728,0.0706,-57.4490,0.5105,-46.6426,0.0572,,,,,,,,,,,,,,,,,,,0.0073,0.0224,3.0826
AgentUDE,-175.1616,19.4915,,,,,,,,,,,,,,,-63.1156,22.8037,,,,,,,,,-57.7040,0.0635,-55.5946,0.4595,-45.3595,0.0515,,,,,,,,,,,,,,,,,0.0184,4.1997,SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0108,2.4659,default broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0000,-0.0003,AvgBroker,-175.1616,19.4915,,,,,,,,,,,,,,,-63.1156,22.8037,,,,,,,,,-57.7040,0.0635,-55.5946,0.4595,-45.3595,0.0515,,,,,,,,,,,,,,,,,0.0044,0.0292,6.6652
AgentUDE,-142.8371,4.0003,-127.7174,16.1492,,,,,,,,,,,,,,,-63.5203,20.5233,,,,,,,,,-55.2394,0.0572,-53.2411,0.4135,-43.2117,0.0463,,,,,,,,,,,,,,,0.0189,3.6298,SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0118,2.2651,default broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0000,-0.0007,AvgBroker,-142.8371,4.0003,-127.7174,16.1492,,,,,,,,,,,,,,,-63.5203,20.5233,,,,,,,,,-55.2394,0.0572,-53.2411,0.4135,-43.2117,0.0463,,,,,,,,,,,,,,,0.0052,0.0306,5.8942
AgentUDE,,,,,,,,,,,,,,,,,,,,,-74.4829,42.9445,,,,,,,,,-54.3663,0.0515,-52.5389,0.3722,-44.3601,0.0417,,,,,,,,,,,,,-0.0294,5.1187,SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0035,0.6186,default broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,-0.0033,AvgBroker,,,,,,,,,,,,,,,,,,,,,-74.4829,42.9445,,,,,,,,,-54.3663,0.0515,-52.5389,0.3722,-44.3601,0.0417,,,,,,,,,,,,,-0.0057,-0.0329,5.7340
AgentUDE,,,,,,,,,,,,,-81.8438,0.9198,,,,,,,,,,,,,,,,,,,,,,,-47.9878,56.5385,,,,,,,,,,,-1.1844,-4.7753,SPOT,-121.9213,0.0164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2495,0.0463,,,,,,,,,,,,,,,0.1444,0.5823,default broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,-0.0006,AvgBroker,-121.9213,0.0164,,,,,,,,,,,-81.8438,0.9198,,,,,,,,,,,,,,,,,,,-5.2495,0.0463,,,-47.9878,56.5385,,,,,,,,,,,0.2480,-1.0402,-4.1936
AgentUDE,-107.4311,1.9101,,,,,,,,,,,,,-79.7588,0.7179,,,-73.5546,0.6767,,,,,,,,,,,,,,,-55.4888,0.1526,-49.4099,52.3179,-37.6680,0.0338,,,,,,,,,-2.2086,-9.4335,SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4057,1.7331,default broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0013,-0.0057,AvgBroker,-107.4311,1.9101,,,,,,,,,,,,,-79.7588,0.7179,,,-73.5546,0.6767,,,,,,,,,,,,,,,-55.4888,0.1526,-49.4099,52.3179,-37.6680,0.0338,,,,,,,,,0.2341,-1.8041,-7.7061
AgentUDE,-61.3557,3.7734,-59.4153,1.9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.5409,56.5398,,,,,,,-1.5532,-11.6924,SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2088,1.5721,default broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0008,-0.0058,AvgBroker,-61.3557,3.7734,-59.4153,1.9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.5409,56.5398,,,,,,,0.1328,-1.3451,-10.1261
